State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,Identity Theft,"8,454",22%
Alabama,Imposter Scams,"6,793",18%
Alabama,"Credit Bureaus, Information Furnishers and Report Users","2,850",7%
Alabama,Telephone and Mobile Services,"2,521",7%
Alabama,"Prizes, Sweepstakes and Lotteries","2,449",6%
Alabama,Debt Collection,"2,382",6%
Alabama,Banks and Lenders,"1,734",5%
Alabama,Online Shopping and Negative Reviews,"1,679",4%
Alabama,Auto Related,"1,250",3%
Alabama,Internet Services,659,2%
Alaska,Imposter Scams,975,23%
Alaska,Identity Theft,539,13%
Alaska,"Prizes, Sweepstakes and Lotteries",377,9%
Alaska,Telephone and Mobile Services,355,8%
Alaska,Online Shopping and Negative Reviews,255,6%
Alaska,Banks and Lenders,174,4%
Alaska,Auto Related,143,3%
Alaska,Debt Collection,128,3%
Alaska,Internet Services,127,3%
Alaska,Health Care,107,3%
Arizona,Imposter Scams,"11,567",19%
Arizona,Identity Theft,"10,744",17%
Arizona,Telephone and Mobile Services,"5,305",9%
Arizona,Banks and Lenders,"3,101",5%
Arizona,Debt Collection,"2,787",5%
Arizona,Auto Related,"2,717",4%
Arizona,Online Shopping and Negative Reviews,"2,599",4%
Arizona,"Prizes, Sweepstakes and Lotteries","2,524",4%
Arizona,"Credit Bureaus, Information Furnishers and Report Users","2,338",4%
Arizona,Internet Services,"1,583",3%
Arkansas,Identity Theft,"4,525",23%
Arkansas,Imposter Scams,"3,813",19%
Arkansas,"Prizes, Sweepstakes and Lotteries","1,361",7%
Arkansas,Telephone and Mobile Services,"1,162",6%
Arkansas,Debt Collection,1081,5%
Arkansas,Online Shopping and Negative Reviews,1013,5%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users",862,4%
Arkansas,Banks and Lenders,828,4%
Arkansas,Auto Related,592,3%
Arkansas,Internet Services,394,2%
California,Identity Theft,"101,639",29%
California,Imposter Scams,"62,869",18%
California,"Credit Bureaus, Information Furnishers and Report Users","19,050",6%
California,Telephone and Mobile Services,"18,356",5%
California,Banks and Lenders,"16,497",5%
California,Online Shopping and Negative Reviews,"15,710",5%
California,Debt Collection,"13,447",4%
California,Auto Related,"10,105",3%
California,Internet Services,"9,212",3%
California,"Prizes, Sweepstakes and Lotteries","8,287",2%
Colorado,Imposter Scams,"9,958",22%
Colorado,Identity Theft,"6,272",14%
Colorado,Telephone and Mobile Services,"2,974",7%
Colorado,Online Shopping and Negative Reviews,"2,574",6%
Colorado,Banks and Lenders,"2,395",5%
Colorado,Auto Related,"1,843",4%
Colorado,"Credit Bureaus, Information Furnishers and Report Users","1,781",4%
Colorado,Debt Collection,"1,738",4%
Colorado,"Prizes, Sweepstakes and Lotteries","1,725",4%
Colorado,Internet Services,"1,378",3%
Connecticut,Imposter Scams,"5,888",22%
Connecticut,Identity Theft,"4,564",17%
Connecticut,Banks and Lenders,"1,720",6%
Connecticut,Telephone and Mobile Services,"1,450",5%
Connecticut,Online Shopping and Negative Reviews,"1,414",5%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users","1,360",5%
Connecticut,Auto Related,"1,253",5%
Connecticut,Internet Services,1070,4%
Connecticut,Debt Collection,978,4%
Connecticut,"Prizes, Sweepstakes and Lotteries",773,3%
Delaware,Identity Theft,"2,188",22%
Delaware,Imposter Scams,"1,781",18%
Delaware,Telephone and Mobile Services,597,6%
Delaware,"Credit Bureaus, Information Furnishers and Report Users",562,6%
Delaware,Banks and Lenders,546,5%
Delaware,Online Shopping and Negative Reviews,541,5%
Delaware,Debt Collection,477,5%
Delaware,"Prizes, Sweepstakes and Lotteries",409,4%
Delaware,Auto Related,372,4%
Delaware,Internet Services,274,3%
District of Columbia,Imposter Scams,"1,741",19%
District of Columbia,Identity Theft,"1,550",17%
District of Columbia,Banks and Lenders,690,7%
