Reports by Military Consumers,,,,,
,,,,,
Report Type,# of Reports,,,,
Fraud,"58,542",,,,
Identity Theft,"28,413",,,,
Other,"37,051",,,,
,,,,,
# of Fraud Reports,"58,542",,,,
# of Reports with $ Loss,"9,312",16% of military consumer fraud reports,,,
Total $ Loss,$92M,,,,
Median $ Loss,$894 ,,,,
,,,,,
Top 10 Fraud Categories,,,,,
Rank,Category, # of Reports  ,% Reporting $ Loss, Total $ Loss , Median $ Loss 
1,Imposter Scams,"35,066",10%,$27.4M,"$1,000 "
2,Telephone and Mobile Services,"2,838",12%,$1.3M,$300 
3,Online Shopping and Negative Reviews,"2,511",72%,$1.8M,$138 
4,"Prizes, Sweepstakes and Lotteries","1,769",20%,$7.8M,"$2,550 "
5,Internet Services,"1,379",20%,$1.3M,$299 
6,Foreign Money Offers and Counterfeit Check Scams,"1,366",23%,$1.9M,"$2,125 "
7,Business and Job Opportunities,522,41%,$5.2M,"$4,500 "
8,Mortgage Foreclosure Relief and Debt Management,458,36%,$0.6M,"$1,400 "
9,"Travel, Vacations and Timeshare Plans",446,67%,$4.9M,"$3,959 "
10,Advance Payments for Credit Services,291,33%,$0.7M,"$1,133 "
,,,,,
Identity Theft Types,,,,,
Rank, Theft Type ,# of Reports,,,
1,Credit Card Fraud,"10,251",,,
2,Other Identity Theft,"7,770",,,
3,Bank Fraud,"4,958",,,
4,Phone or Utilities Fraud,"4,590",,,
5,Loan or Lease Fraud,"3,483",,,
6,Employment or Tax-Related Fraud,"2,304",,,
7,Government Documents or Benefits Fraud,"2,279",,,
,,,,,
Other Categories,,,,,
Rank,Category,# of Reports,,,
1,"Credit Bureaus, Information Furnishers and Report Users","7,400",,,
2,Banks and Lenders,"6,861",,,
3,Debt Collection,"6,734",,,
4,Credit Cards,"2,687",,,
5,Auto Related,"2,163",,,
6,"Home Repair, Improvement and Products",816,,,
7,Education,750,,,
8,Television and Electronic Media,412,,,
9,Computer Equipment and Software,67,,,
10,Funeral Services,15,,,
,,,,,
Certain Fraud categories are comprised of subcategories that fall in both Fraud and Other report types. See Appendix B3. The Fraud rankings exclude subcategories that are not fraud.,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,,,
