"State Rankings: Identity Theft Reports
",,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,229,"23,871"
2,Nevada,194,"5,816"
3,California,186,"73,668"
4,Florida,180,"37,797"
5,Texas,159,"45,030"
6,Delaware,158,"1,517"
7,Maryland,145,"8,747"
8,Michigan,140,"13,952"
9,Illinois,127,"16,296"
10,Arizona,126,"8,853"
11,South Carolina,126,"6,339"
12,New Jersey,125,"11,273"
13,New York,122,"24,248"
14,New Hampshire,117,"1,565"
15,North Carolina,112,"11,481"
16,Louisiana,111,"5,202"
17,Colorado,110,"6,151"
18,Connecticut,108,"3,864"
19,Alabama,108,"5,241"
20,Pennsylvania,107,"13,725"
21,Tennessee,101,"6,808"
22,Oregon,101,"4,179"
23,Washington,100,"7,380"
24,Mississippi,97,"2,894"
25,Virginia,97,"8,196"
26,New Mexico,96,"2,000"
27,Utah,94,"2,915"
28,Rhode Island,93,990
29,Massachusetts,93,"6,387"
30,Ohio,88,"10,268"
31,Missouri,85,"5,222"
32,Idaho,80,"1,368"
33,Oklahoma,79,"3,109"
34,Montana,76,799
35,Indiana,74,"4,918"
36,Kansas,74,"2,142"
37,Arkansas,73,"2,197"
38,Minnesota,73,"4,070"
39,Hawaii,72,"1,021"
40,Alaska,69,507
41,Nebraska,67,"1,281"
42,Wisconsin,64,"3,731"
43,North Dakota,63,474
44,Wyoming,58,338
45,West Virginia,58,"1,051"
46,Kentucky,57,"2,522"
47,South Dakota,56,486
48,Maine,56,744
49,Iowa,53,"1,654"
50,Vermont,51,316
,District of Columbia,167,"1,156"
,Puerto Rico,51,"1,710"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2017 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",,,
