Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2016,Advance Payments for Credit Services,"Advance-Fee Loans, Credit Arrangers","15,614",0.51%
2016,Advance Payments for Credit Services,Credit Card Loss Protection,238,0.01%
2016,Advance Payments for Credit Services,Credit Repair,"2,214",0.07%
2016,Advance Payments for Credit Services,Recovery\Refund Companies,"1,556",0.05%
2016,Auto Related,Auto: Financing,"8,233",0.27%
2016,Auto Related,Auto: Gas,165,0.01%
2016,Auto Related,Auto: Parts & Repairs,"6,585",0.22%
2016,Auto Related,Auto: Renting & Leasing,"13,632",0.45%
2016,Auto Related,Auto: Sales - New,"41,270",1.35%
2016,Auto Related,Auto: Sales - Used,"30,545",1.00%
2016,Auto Related,Auto: Warranty Plans & Services,"5,832",0.19%
2016,Banks and Lenders,"Banks, Savings & Loans, and Credit Unions","48,585",1.59%
2016,Banks and Lenders,Lending: Auto Title Loans,711,0.02%
2016,Banks and Lenders,Lending: Banks & Credit Unions,677,0.02%
2016,Banks and Lenders,Lending: Finance Company,"9,333",0.31%
2016,Banks and Lenders,Lending: Mortgage,"55,405",1.82%
2016,Banks and Lenders,Lending: Other Institutions,"12,734",0.42%
2016,Banks and Lenders,Lending: Payday Loans,"7,117",0.23%
2016,Banks and Lenders,Lending: Student Loans,"16,729",0.55%
2016,Business and Job Opportunities,Business Opportunities\Work-At-Home Plans,"9,702",0.32%
2016,Business and Job Opportunities,Employ Agencies\Job Counsel\Overseas Work,"7,387",0.24%
2016,Business and Job Opportunities,Franchises\Distributorships*,451,0.01%
2016,Business and Job Opportunities,Inventions\Idea Promotions,595,0.02%
2016,Business and Job Opportunities,Multi-Level Mktg\Pyramids\Chain Letters,"1,693",0.06%
2016,Charitable Solicitations,Charitable Solicitations,"3,588",0.12%
2016,Computer Equipment and Software,Computers: Equipment\Software,"20,206",0.66%
2016,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"51,689",1.70%
2016,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,979,0.03%
2016,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,206,0.01%
2016,Credit Cards,Credit Cards,"44,629",1.46%
2016,Debt Collection,Creditor Debt Collection,"2,400",0.08%
2016,Debt Collection,Third Party Debt Collection,"864,230",28.36%
2016,Education,Education: Colleges and Universities,"6,612",0.22%
2016,Education,Education: Trade\Vocational Schools,"2,873",0.09%
