State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,Debt Collection,"8,997",23%
Alabama,Imposter Scams,"6,112",16%
Alabama,Identity Theft,"5,241",14%
Alabama,"Prizes, Sweepstakes and Lotteries","2,564",7%
Alabama,Telephone and Mobile Services,"1,897",5%
Alabama,"Credit Bureaus, Information Furnishers and Report Users","1,885",5%
Alabama,Banks and Lenders,"1,546",4%
Alabama,Shop-at-Home and Catalog Sales,"1,393",4%
Alabama,Auto Related,"1,255",3%
Alabama,Internet Services,526,1%
Alaska,Imposter Scams,804,20%
Alaska,Identity Theft,507,13%
Alaska,"Prizes, Sweepstakes and Lotteries",463,11%
Alaska,Telephone and Mobile Services,333,8%
Alaska,Shop-at-Home and Catalog Sales,234,6%
Alaska,Banks and Lenders,166,4%
Alaska,Debt Collection,146,4%
Alaska,"Credit Bureaus, Information Furnishers and Report Users",131,3%
Alaska,Auto Related,120,3%
Alaska,Internet Services,112,3%
Arizona,Imposter Scams,"11,574",19%
Arizona,Identity Theft,"8,853",15%
Arizona,Debt Collection,"8,055",13%
Arizona,Telephone and Mobile Services,"4,496",7%
Arizona,Banks and Lenders,"2,826",5%
Arizona,"Prizes, Sweepstakes and Lotteries","2,547",4%
Arizona,"Credit Bureaus, Information Furnishers and Report Users","2,465",4%
Arizona,Auto Related,"2,394",4%
Arizona,Shop-at-Home and Catalog Sales,"2,212",4%
Arizona,Internet Services,"1,223",2%
Arkansas,Imposter Scams,"3,354",19%
Arkansas,Debt Collection,"2,799",16%
Arkansas,Identity Theft,"2,197",12%
Arkansas,"Prizes, Sweepstakes and Lotteries","1,605",9%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users",935,5%
Arkansas,Telephone and Mobile Services,886,5%
Arkansas,Shop-at-Home and Catalog Sales,815,5%
Arkansas,Banks and Lenders,678,4%
Arkansas,Auto Related,531,3%
Arkansas,Internet Services,322,2%
California,Identity Theft,"73,668",23%
California,Debt Collection,"57,442",18%
California,Imposter Scams,"44,949",14%
California,"Credit Bureaus, Information Furnishers and Report Users","16,485",5%
California,Telephone and Mobile Services,"16,089",5%
California,Banks and Lenders,"15,840",5%
California,Shop-at-Home and Catalog Sales,"12,994",4%
California,Auto Related,"9,123",3%
California,"Prizes, Sweepstakes and Lotteries","8,803",3%
California,Internet Services,"7,703",2%
Colorado,Imposter Scams,"8,873",20%
Colorado,Identity Theft,"6,151",14%
Colorado,Debt Collection,"4,643",11%
Colorado,Telephone and Mobile Services,"2,858",7%
Colorado,Banks and Lenders,"2,283",5%
Colorado,Shop-at-Home and Catalog Sales,"2,076",5%
Colorado,Auto Related,"1,748",4%
Colorado,"Prizes, Sweepstakes and Lotteries","1,667",4%
Colorado,"Credit Bureaus, Information Furnishers and Report Users","1,625",4%
Colorado,Internet Services,"1,107",3%
Connecticut,Imposter Scams,"4,610",19%
Connecticut,Identity Theft,"3,864",16%
Connecticut,Debt Collection,"2,952",12%
Connecticut,Banks and Lenders,"1,571",6%
Connecticut,Telephone and Mobile Services,"1,300",5%
Connecticut,Shop-at-Home and Catalog Sales,"1,296",5%
Connecticut,Auto Related,"1,233",5%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users",887,4%
Connecticut,"Prizes, Sweepstakes and Lotteries",860,3%
Connecticut,Internet Services,798,3%
Delaware,Imposter Scams,"1,597",17%
Delaware,Identity Theft,"1,517",16%
Delaware,Debt Collection,"1,456",16%
Delaware,Banks and Lenders,553,6%
Delaware,"Credit Bureaus, Information Furnishers and Report Users",516,6%
Delaware,Shop-at-Home and Catalog Sales,401,4%
Delaware,"Prizes, Sweepstakes and Lotteries",386,4%
Delaware,Auto Related,382,4%
Delaware,Telephone and Mobile Services,368,4%
