"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"LO-EmailListcom LLC","JayDunsing [at] gmail.com","http://specialtycontactdatabases.com","7094 W. Foothills Acacia Pl, Marana, AZ 85658, United States","Fill out a form on my website or simply send an email making the request.  However, the lists we provide are for business to business purposes only.  We will be launching a secondary website specialtycontactdatabases.com in January 2020.","Fill out a form on my website or simply send an email making the request.  However, the lists we provide are for business to business purposes only.  We will be launching a secondary website specialtycontactdatabases.com in January 2020.","","01/16/2020"
"Welltok, Inc.","privacy [at] welltok.com","http://www.welltok.com","1515 Arapahoe Street, Tower 3, Suite 700, Denver, CO 80202, United States","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","","02/07/2020"
"ORIGIN8 INC","compliance [at] pushint.com","https://www.pushint.com","225 Thomas Ave N, Minneapolis, MN 55405, United States","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","We capture data from internally owned and operated websites under a variety of brands, and either provide the requested services to the customer, or distribute the data to a 3rd party to provide the required services with the customers permission.","02/07/2020"
"Arity 875, LLC","privacy [at] arity.com","https://www.arity.com","222 W Merchandise Mart Plaza, Suite 875, Chicago, IL 60654, United States","California consumers may opt out of the sale of their personal information by selecting the link toward the bottom of the Arity website www.arity.com or via Arity’s privacy statement. Arity’s sharing that may be considered a sale of personal information is limited.","California consumers may exercise their deletion right by visiting arity.consumerprivacyinfo.com or emailing us at consumerrequests@arity.com.","Arity uses advertising identifiers associated with consumer’s mobile device (commonly known as a Mobile Ad ID) to serve third-party interest-based advertising based on their driving habits. Under California law, sharing these unique advertising identifiers for online advertising may be considered a “sale” of information. Except for this kind of sharing, Arity does not sell any personal information.","02/27/2020"
"Infortal Associates Inc dba Infortal Worldwide","ctal [at] infortal.com","http://www.infortal.com","1590 THE ALAMEDA, SUITE 100, SAN JOSE, CA 95126, United States","Consumer can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer.","Protected Individuals (Consumer) can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer. Retention and deletion of data will be pursuant to State of California regulations governing licensed Private Investigators.  , PI License 15304 CA., ","Infortal Associates Inc. (dba Infortal Worldwide) has a Privacy Policy posted on our website at www.infortal.com which will address data collecting practices.  , (Infortal's Privacy policy is being updated currently).","02/07/2020"
"KBM Group LLC, d/b/a Wunderman Thompson Data","Rachel.glasser [at] wundermanthompson.com","http://www.kbmg.com","2050 N. Greenville Ave, Richardson, TX 75082, United States","A consumer may opt our of sale or submit requests under the CCPA through the follow ways:, 1)	Completing our webform to intake such requests which is available on our privacy policy, 2)	emailing:, a.	Consumerassistance@wundermandata.com, b.	DoNotMail@wundermanthompson.com, 3)	Or phoning 866-275-4526, 4)	Consumers may also request to opt out of the sale of their personal information here: https://www.kbmg.com/about-us/ccpa-privacy-policy/#optout  , ","Individuals can demand deletion by one of the methods mentioned above.","For more information please visit https://www.kbmg.com/about-us/privacy/","02/07/2020"
"LimeLeads","privacy [at] limeleads.com","http://limeleads.com","113 Cherry St # 28478, Seattle, WA 98104-2205, United States","Consumers can opt out by emailing privacy@limeleads.com or by visiting LimeLead's Privacy Center at https://www.limeleads.com/about-us/privacy-center/ to submit a request under the CCPA.","A protected individual can opt out by emailing privacy@limeleads.com, by visiting  LimeLead's Privacy Center at https://www.limeleads.com/about-us/privacy-center/ or submitting a Deletion Request via https://www.limeleads.com/about-us/privacy-center/request-remove-delete-data/.","","02/07/2020"
"SalesEngine Inc","privacy [at] salesengine.ai","http://salesengine.ai","2711 Centerville Road, Suite 400, Wilmington, DE 19808, United States","Submit an opt out of sale request via email to privacy@salesengine.ai, on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/do-not-sell-info/","Submit a request to demand deletion via email to privacy@salesengine.ai,  on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/delete-data-request/","","02/07/2020"
"PubMatic, Inc.","privacy [at] pubmatic.com","http://www.pubmatic.com","305 Main Street, First Floor, Redwood City, CA 94063, United States","California consumers may contact PubMatic as follows:, , - Opting out through the mechanisms described at https://pubmatic.com/legal/privacy-policy, - Submitting an email request to privacy@pubmatic.com, - Submitting a physical request to: PubMatic, Inc., Attn: Legal Department, 305 Main Street, First Floor, Redwood City, CA 94063, USA, , ","PubMatic does not engage in the business of publicly posting personal information. , , California consumers may contact PubMatic as follows:, , - Opting out through the mechanisms described at https://pubmatic.com/legal/privacy-policy, - Submitting an email request to privacy@pubmatic.com, - Submitting a physical request to: PubMatic, Inc., Attn: Legal Department, 305 Main Street, First Floor, Redwood City, CA 94063, USA, ","PubMatic fuels the endless potential of internet content creators.  PubMatic is a digital advertising technology company for premium content creators.  The PubMatic platform empowers independent app developers and publishers to control and maximize their digital advertising businesses., , For more information about PubMatic's practices, please see our privacy policy at https://pubmatic.com/legal/privacy-policy., , ","09/02/2020"
"PossibleNow Data Services, Inc","info [at] possiblenow.com","http://www.possiblenow.com","4400 Rivergreen Parkway, Suite 100, Duluth, GA 30096, United States","Email us at info@possiblenow.com","Email us at info@possiblenow.com","","02/27/2020"
