"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"The Alesco Group LLC","michael [at] alescodata.com","http://Alescodata.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Response Solutions Group LLC","michael [at] alescodata.com","http://responsesoulutionsllc.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Stat Resource Group LLC DBA Statlistics","michael [at] alescodata.com","http://statlistics.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Clickagy","support [at] clickagy.com","https://www.clickagy.com","695 Mansell Rd, Suite 250, Roswell, GA 30076, United States","Via our website: https://www.clickagy.com/privacy/ or https://www.clickagy.com/ccpa/","Via our website: https://www.clickagy.com/ccpa/","We collect online behavioral data in compliance with all current US privacy laws.","01/23/2020"
"Jellyfish US Ltd.","mydata [at] jellyfish.com","https://www.jellyfish.com/en-us","250 S. President Street, Suite 10, Baltimore, MD 21202, United States","","","","02/12/2020"
"Collateral Analytics, LLC","legal [at] collateralanalytics.com","https://search.homepricetrends.com/#/","6700 Kalanianaole Hwy, Ste 210, Honolulu, HI 96825, United States","Consumers may exercise their right to opt out of sales by filing our a Consumer Rights Request Form, available online at https://search.homepricetrends.com/#/privacy, by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428. ","Consumers may exercise their right to delete information by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428. ","Please see our privacy policy: https://search.homepricetrends.com/#/privacy ","01/30/2020"
"Adrea Rubin Marketing, Inc.","jenniferv [at] adrearubin.com","http://www.adrearubin.com","19 West 44th Street, Suite 1415, New York, NY 10036, United States","A consumer may opt out of sale or submit requests under the CCPA by either calling a number listed on our website or filling out a form on our website.","We do not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website., , ","A credentialing process is implemented to prevent data usage for nefarious purposes.","01/31/2020"
"Entelo, Inc.","privacy [at] entelo.com","http://www.entelo.com","584 Castro Street, #909, San Francisco, CA 94111, United States"," California residents that would like to opt-out of the sale of their information or request access to their information, should contact us:, by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or, via email: privacy@entelo.com, or, by phone: (888) 402-3010, We prefer email.","A protected individual can demand deletion of any information that we may have on them by contacting us:, by mail to: Entelo, Attn: Legal, 584 Castro Street, #909, San Francisco, CA 94111, USA, or, via email: privacy@entelo.com, or, by phone: (888) 402-3010, We prefer email.","our data collecting practices are fully described on our privacy notice: https://www.entelo.com/privacy-policy/","02/12/2020"
"PushSpring, Inc.","privacy [at] pushspring.com","http://www.pushspring.com","12920 SE 38th Street, Bellevue, WA 98006, United States","To learn how to opt-out of our sale, license, or use of your personal data by PushSpring to support interest-based advertising, you may visit https://www.pushspring.com/optout.html, or call 1-844-905-1877, and follow the opt-out instructions.  To submit requests under the CCPA, contact us at: privacy@pushspring.com.","PushSpring does not publish home address, telephone number, or image information.  Questions about information we collect can be addressed by our privacy policy (https://www.pushspring.com/privacy.html) or by contacting us at privacy@pushspring.com.","Our data collection practices involve licensing of preference data linked to pseudonymous mobile device identifiers created for advertising and marketing purposes.","02/07/2020"
"Lead Me Media","CCPA [at] LeadMeMedia.com","http://www.leadmemedia.com","150 E. Palmetto Park Road, Suite 200, Boca Raton, FL 33432, United States","Through our portal at: http://leadmemedia.com/CCPA/CCPA_portal.html","Through our portal at: http://leadmemedia.com/CCPA/CCPA_portal.html","N/A","02/07/2020"
"Resource Guide LIVE/SportsAtlas","info [at] sportsatlas.com","http://www.resourceguidelive.com","120 W. Morehead St., Charlotte, NC 28202, United States","through a link on our website","through a link on our website","","02/27/2020"
"First Movers Advantage, LLC","privacy [at] fmadata.com","https://www.fmadata.com/","2575 Pearl St, Ste 230, Boulder, CO 80302, United States","We offer online and mail-in options. See https://www.fmadata.com/do-not-sell-my-personal-information","We offer online and mail-in options as described on our California Privacy Policy. See https://www.fmadata.com/privacy-policy-california","We gather real estate market data and county public record data.","02/27/2020"
"BIGtoken, Inc.","support [at] bigtoken.com","http://bigtoken.com","456 Seaton Street, Los Angeles, CA 90013, United States","They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.","They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.","None.","02/27/2020"
"Megaphone LLC ","contact [at] megaphone.fm","http://www.megaphone.fm","1255 23rd Street NW, Suite 650, DC 20037, United States","A consumer may opt out of the sale or submit requests under CCPA by phone, or on Megaphone.fm.","A consumer can demand a deletion of information by phone or on Megaphone.fm.","","03/03/2020"
"Freckle I.O.T. Ltd.","privacy [at] freckleiot.com","https://freckleiot.com/","409 King St W, Suite 400, Toronto, ON M5V1K1, Canada","When we obtain Data from App partners, we make reasonable efforts to contract with partners who disclose to their own users matters regarding their use of mobile data for interest-based advertising purposes, and regarding end-user opt-out rights., , End Users may manage certain collection and sharing of Information in connection with their Devices as follows:, , Apple devices, , If you have an Apple device, you can opt out of app-based tracking for interest-based advertising by updating to iOS 6.0 or higher, and setting Limit Ad Tracking to ‘ON’.  For iOS 6, you can do this by selecting Settings -> General -> About -> Advertising and toggling Limit Ad Tracking to ‘ON’. For iOS 7 and higher, you can do this by selecting Settings -> Privacy -> Advertising and toggling Limit Ad Tracking to ‘ON’. You can obtain further information on how to limit ad tracking on your iOS device or to reset your IDFA here:  IDFA Opt-Out (https://support.apple.com/en-ca/HT202074)., , Android devices, , If you have an Android device, you can opt out app-based tracking for interest-based advertising by taking the following steps i) Open the Google Settings app on your device; ii) Select “Ads”; and iii) Opt out of interest-based ads. You can obtain further information about how identifiers on mobile are used for advertising and receive instruction for how to opt out of mobile advertising here: Google Privacy & Terms webpage (https://support.google.com/adsense/troubleshooter/1631343)., , Cross device data collection, , If you would like to opt out of cross-device data collection, please follow the instructions at, https://www.tapad.com/privacy-policy., Opting out of cross device data collection will remove your browser or device from the device graph. You will be required to opt out individually on each of your browsers and on all of your devices.","A protected individual can demand the deletion of information by contacting us. The individual can complete a ""do not sell my information"" request by providing us with the following information:, , First name, Last name, Email, Address, City, State, Postal Code, Country, , To contact us concerning this, please send a letter to:, ,  Attn: Privacy Officer, Freckle IoT, 409 King St. West, Suite 400, Toronto, ON, M5V 1K1, Email: privacy@freckleiot.com","Freckle collects Data using our proprietary technology (often referred to as a software development kit or “SDK”). We may also collect Data through sever-to-server integrations or other Application Program Interfaces (“API”’s). The integration will enable Freckle to collect data from third-party devices present at certain third-party locations. Such devices may use Wi-Fi, near field communication (“NFC”), or Bluetooth low-energy (“BLE”) beacon technology to transmit signals about the location of Devices to us.  Once Freckle obtains this Information, it will transmit that data though an API, in encrypted form, via a HTTPS protocol to its data management platform, make inferences (the “Inferences”), as defined below, about the Device user’s interests., , Freckle uses “pixel tags” and/or “cookies” in order to provide reporting on ad delivery in a pseudonymous manner. Pixel tags are small bits of code that provide delivery information on a webpage. This allows the operator of the page or a third party to collect the IP address of the users of the page. Cookies are small text files that are stored on the browser of a computer that uniquely identify the browser and provide information to the cookie sender. Many websites send cookies to the browsers that are visiting those sites, and many browsers are initially configured to accept cookies. Users can change the browser settings to refuse cookies or to alert them when a cookie has been placed on their browser. The user can check the browser for details in this regard., , Freckle engages in cross device data collection which refers to the process of collecting data from separate devices that have been determined through statistical analysis to be linked or related. Freckle, or partners that we employ to provide this service, use cross device data to provide reporting on offline attribution associated with cross device advertising.","03/11/2020"
