"Fraud, Identity Theft, and Other Reports by Military Consumers",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Active Duty Service Member,"17,177","7,731",38%,$46M,$950 
Military Retiree/Veteran,"152,859","73,355",29%,$292M,$750 
Reserve/National Guard,"10,542","5,174",40%,$40M,"$1,000 "
Spouse/Dependent of Active Duty Service Member,"12,515","6,864",39%,$36M,$585 
,,,,,
Military Branch,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
U.S. Air Force,"35,404","18,473",26%,$67M,$672 
U.S. Army,"84,549","36,144",30%,$140M,$700 
U.S. Coast Guard,"2,978","1,521",34%,$11M,$650 
U.S. Marines,"17,686","7,980",33%,$34M,$712 
U.S. Navy,"38,307","18,588",28%,$68M,$700 
,,,,,
"Of the 195,028 total reports from military consumers in 2022, 92% provided military branch information.",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Enlisted,"125,230","64,686",29%,$242M,$689 
Officer,"26,952","16,066",30%,$93M,$808 
,,,,,
"Of the 195,028 total reports from military consumers in 2022, 78% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,,
