State Rankings: Identity Theft Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,574,"60,348"
2,Louisiana,534,"24,898"
3,Florida,524,"111,221"
4,Delaware,484,"4,682"
5,Nevada,418,"12,672"
6,Texas,397,"113,808"
7,Pennsylvania,368,"47,143"
8,Alabama,363,"17,763"
9,South Carolina,352,"17,908"
10,Mississippi,344,"10,260"
11,Maryland,343,"20,736"
12,Illinois,335,"42,558"
13,New Jersey,323,"28,712"
14,California,319,"125,597"
15,New York,312,"60,835"
16,North Carolina,304,"31,609"
17,Arizona,265,"19,018"
18,Ohio,265,"30,950"
19,Virginia,261,"22,177"
20,Tennessee,238,"16,124"
21,Rhode Island,229,"2,420"
22,Connecticut,228,"8,129"
23,Massachusetts,226,"15,518"
24,Michigan,218,"21,768"
25,Missouri,197,"12,089"
26,Kansas,194,"5,651"
27,Colorado,188,"10,671"
28,Indiana,185,"12,422"
29,Utah,175,"5,522"
30,Arkansas,172,"5,186"
31,Washington,158,"11,877"
32,Oklahoma,154,"6,068"
33,New Mexico,152,"3,188"
34,Oregon,151,"6,293"
35,West Virginia,147,"2,657"
36,Wisconsin,143,"8,319"
37,New Hampshire,140,"1,892"
38,Minnesota,130,"7,262"
39,Hawaii,130,"1,841"
40,Idaho,127,"2,225"
41,Kentucky,120,"5,334"
42,North Dakota,112,848
43,Montana,106,"1,123"
44,Nebraska,105,"2,019"
45,Alaska,104,767
46,Maine,103,"1,377"
47,Iowa,98,"3,097"
48,Wyoming,95,552
49,Vermont,90,564
50,South Dakota,76,670
,District of Columbia,418,"2,932"
,Puerto Rico,47,"1,537"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2020 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,
