State Rankings: Identity Theft Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Kansas,"1,483","43,211"
2,Rhode Island,"1,191","12,621"
3,Illinois,"1,066","135,038"
4,Nevada,740,"22,801"
5,Washington,712,"54,247"
6,Massachusetts,661,"45,575"
7,Georgia,654,"69,487"
8,Arkansas,579,"17,470"
9,Maine,534,"7,183"
10,Louisiana,473,"21,976"
11,Florida,472,"101,367"
12,Texas,465,"134,788"
13,Delaware,449,"4,374"
14,Arizona,380,"27,661"
15,California,373,"147,382"
16,South Carolina,373,"19,193"
17,Mississippi,371,"11,048"
18,New Jersey,362,"32,125"
19,Colorado,361,"20,762"
20,Alabama,354,"17,376"
21,Oklahoma,349,"13,797"
22,New York,345,"67,202"
23,Maryland,343,"20,718"
24,Utah,292,"9,366"
25,North Carolina,288,"30,176"
26,Tennessee,281,"19,182"
27,Hawaii,271,"3,835"
28,Pennsylvania,265,"33,886"
29,Indiana,257,"17,306"
30,Michigan,244,"24,370"
31,Montana,228,"2,439"
32,Missouri,222,"13,653"
33,Ohio,222,"25,893"
34,Connecticut,191,"6,821"
35,Virginia,183,"15,632"
36,Oregon,176,"7,432"
37,New Hampshire,169,"2,301"
38,North Dakota,166,"1,266"
39,New Mexico,165,"3,454"
40,Wisconsin,154,"8,986"
41,Wyoming,151,875
42,West Virginia,148,"2,646"
43,Minnesota,146,"8,246"
44,Idaho,132,"2,353"
45,Vermont,130,810
46,Kentucky,127,"5,693"
47,Alaska,127,926
48,Nebraska,113,"2,182"
49,Iowa,96,"3,022"
50,South Dakota,72,637
,District of Columbia,368,"2,595"
,Puerto Rico,52,"1,663"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2019 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
