Identity Theft Types by Age,,,,,,,,
,,,,,,,,
Theft Type,19 and Under,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 and Over
Bank Account,"1,833","20,558","36,859","28,804","20,589","14,339","7,076","2,132"
Credit Card,"2,501","71,900","122,246","84,604","53,438","27,974","10,899","2,852"
Employment or Tax-Related,"13,774","16,826","17,827","13,765","10,869","7,877","3,899","1,261"
Government Documents or Benefits,"1,989","11,373","21,791","19,095","16,061","9,692","3,274",987
Loan or Lease,874,"26,152","44,611","30,730","20,437","11,264","4,117","1,069"
Other Identity Theft,"2,415","42,673","66,702","45,545","27,768","13,665","5,174","1,417"
Phone or Utilities,622,"13,653","23,066","16,770","11,801","6,974","2,582",650
,,,,,,,,
"Of the 1,036,903 total identity theft reports in 2023, 88% included consumer age information.",,,,,,,,
,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,,,,,,
