Report Categories,,,
,,,
Rank,Category, # of Reports ,Percentage
1,Debt Collection," 608,535 ",22.74%
2,Identity Theft," 371,061 ",13.87%
3,Imposter Scams," 347,829 ",13.00%
4,Telephone and Mobile Services," 149,578 ",5.59%
5,Banks and Lenders," 149,316 ",5.58%
6,"Prizes, Sweepstakes and Lotteries"," 142,870 ",5.34%
7,Shop-at-Home and Catalog Sales," 126,387 ",4.72%
8,"Credit Bureaus, Information Furnishers and Report Users"," 107,473 ",4.02%
9,Auto Related," 86,289 ",3.23%
10,Television and Electronic Media," 47,456 ",1.77%
11,Credit Cards," 45,428 ",1.70%
12,Internet Services," 45,093 ",1.69%
13,Foreign Money Offers and Counterfeit Check Scams," 31,980 ",1.20%
14,Health Care," 27,660 ",1.03%
15,"Travel, Vacations and Timeshare Plans"," 22,264 ",0.83%
16,Business and Job Opportunities," 19,082 ",0.71%
17,Advance Payments for Credit Services," 17,762 ",0.66%
18,Investment Related," 15,079 ",0.56%
19,Computer Equipment and Software," 9,762 ",0.36%
20,Mortgage Foreclosure Relief and Debt Management," 8,973 ",0.34%
21,Education," 7,791 ",0.29%
22,Office Supplies and Services," 7,083 ",0.26%
23,"Home Repair, Improvement and Products"," 5,816 ",0.22%
24,Grants," 5,786 ",0.22%
25,Magazines and Books," 5,390 ",0.20%
26,Charitable Solicitations," 3,703 ",0.14%
27,Tax Preparers," 3,360 ",0.13%
28,Internet Auction," 2,267 ",0.08%
29,Funeral Services," 1,109 ",0.04%
30,Buyers' Clubs, 542 ,0.02%
,,,
,"Percentages are based on the total number of 2017 Sentinel reports(2,675,611). 6% of the total were coded “Other(NoteinComments).”SeeAppendixB3.",,
,,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
