"State Rankings: Identity Theft Reports
",,,
,,,
Rank,State,# of Reports per 100K Population,# of Reports
1,Michigan,151,"15,027"
2,Florida,149,"31,167"
3,California,140,"55,418"
4,Maryland,129,"7,788"
5,Nevada,128,"3,828"
6,Delaware,126,"1,211"
7,Illinois,124,"15,841"
8,Rhode Island,123,"1,302"
9,Georgia,120,"12,548"
10,Arizona,119,"8,330"
11,Texas,118,"33,454"
12,Connecticut,114,"4,078"
13,Colorado,108,"6,051"
14,New Jersey,106,"9,533"
15,New York,103,"20,397"
16,Washington,99,"7,360"
17,Pennsylvania,97,"12,468"
18,North Carolina,92,"9,424"
19,New Mexico,91,"1,909"
20,Virginia,90,"7,656"
21,South Carolina,90,"4,509"
22,Oregon,90,"3,714"
23,Massachusetts,88,"6,016"
24,Tennessee,83,"5,586"
25,New Hampshire,82,"1,097"
26,Missouri,82,"4,994"
27,Utah,79,"2,452"
28,Idaho,79,"1,356"
29,Ohio,78,"9,121"
30,Minnesota,78,"4,324"
31,Indiana,75,"5,027"
32,Alabama,74,"3,609"
33,Oklahoma,74,"2,901"
34,Kansas,72,"2,100"
35,Louisiana,71,"3,340"
36,Arkansas,69,"2,084"
37,Mississippi,69,"2,064"
38,Kentucky,69,"3,060"
39,Wyoming,67,389
40,Alaska,67,494
41,Wisconsin,64,"3,731"
42,Hawaii,62,890
43,North Dakota,62,467
44,Nebraska,61,"1,170"
45,Montana,61,638
46,Maine,60,806
47,Iowa,59,"1,870"
48,Vermont,57,354
49,West Virginia,55,"1,000"
50,South Dakota,46,403
,District of Columbia,192,"1,333"
,Puerto Rico,61,"2,046"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2017 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
