State Rankings: Identity Theft Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Rhode Island,"2,857","30,270"
2,Kansas,"1,355","39,461"
3,Illinois,924,"117,056"
4,Louisiana,732,"34,043"
5,Georgia,618,"65,666"
6,Nevada,584,"17,985"
7,Colorado,583,"33,572"
8,New York,563,"109,466"
9,Delaware,560,"5,449"
10,Florida,515,"110,675"
11,Texas,504,"146,095"
12,Maryland,493,"29,778"
13,Ohio,431,"50,421"
14,Pennsylvania,425,"54,460"
15,Alabama,402,"19,691"
16,Arizona,386,"28,108"
17,New Jersey,359,"31,857"
18,South Carolina,343,"17,642"
19,California,337,"133,119"
20,Mississippi,333,"9,906"
21,Tennessee,297,"20,254"
22,North Carolina,289,"30,318"
23,Massachusetts,240,"16,566"
24,Kentucky,233,"10,416"
25,Virginia,225,"19,214"
26,New Mexico,220,"4,611"
27,Missouri,218,"13,372"
28,Hawaii,211,"2,993"
29,Arkansas,211,"6,358"
30,Michigan,206,"20,556"
31,Wisconsin,193,"11,253"
32,Oregon,190,"8,016"
33,Utah,189,"6,060"
34,Connecticut,187,"6,666"
35,Indiana,176,"11,866"
36,Oklahoma,173,"6,850"
37,Washington,170,"12,917"
38,Minnesota,168,"9,457"
39,Maine,167,"2,239"
40,New Hampshire,162,"2,205"
41,West Virginia,159,"2,845"
42,Idaho,152,"2,719"
43,Vermont,132,825
44,North Dakota,131,999
45,Nebraska,125,"2,409"
46,Alaska,122,896
47,Iowa,119,"3,758"
48,Wyoming,107,620
49,Montana,106,"1,130"
50,South Dakota,76,673
,District of Columbia,577,"4,072"
,Puerto Rico,44,"1,404"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2019 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
