Fraud Reports by Amount Lost,,
,,
Number of Fraud Reports,"2,789,161",
Reports with $ Loss,"692,376",25% of the total
Total $ Loss,"$5,893,260,382 ",
Median $ Loss,$500 ,
,,
"Reported Fraud Losses in $1 - $10,000 + Range",,
Amount Lost,# of Reports,
"$1 - $1,000","447,732",
"$1,001 - $2,000","74,179",
"$2,001 - $3,000","35,101",
"$3,001 - $4,000","19,743",
"$4,001 - $5,000","16,112",
"$5,001 - $6,000","9,425",
"$6,001 - $7,000","6,804",
"$7,001 - $8,000","6,034",
"$8,001 - $9,000","4,215",
"$9,001 - $10,000","7,496",
"More than $10,000","65,535",
,,
"Reported Fraud Losses in $1 - $1,000 Range",,
Amount Lost ,# of Reports,
$1 - $100,"168,469",
$101 - $200,"74,439",
$201 - $300,"45,080",
$301 - $400,"32,212",
$401 - $500,"35,141",
$501 - $600,"21,421",
$601 - $700,"15,971",
$701 - $800,"18,159",
$801 - $900,"12,044",
"$901 - $1,000","24,796",
,,
"The amount lost is based on reports in which consumers indicated they lost between $1 and $999,999. ",,
,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,
