Fraud Reports and Reported Amount Lost by State,,,,
,,,,
State,# of Reports,% Reporting $ Loss,Total $ Loss,Median $ Loss
Alabama,"26,986",24%,"$44,712,880 ",$423 
Alaska,"6,906",18%,"$13,078,284 ",$600 
Arizona,"51,873",24%,"$116,030,737 ",$515 
Arkansas,"16,142",25%,"$16,692,589 ",$450 
California,"244,585",28%,"$820,858,149 ",$600 
Colorado,"46,089",24%,"$87,975,013 ",$479 
Connecticut,"21,278",25%,"$40,886,958 ",$460 
Delaware,"7,367",24%,"$14,135,903 ",$500 
District of Columbia,"6,840",23%,"$10,207,425 ",$500 
Florida,"156,319",25%,"$331,282,322 ",$532 
Georgia,"65,977",25%,"$112,980,173 ",$500 
Hawaii,"9,193",24%,"$22,502,406 ",$620 
Idaho,"10,786",24%,"$16,949,046 ",$396 
Illinois,"78,280",22%,"$128,953,942 ",$450 
Indiana,"39,621",23%,"$46,881,596 ",$400 
Iowa,"14,643",25%,"$21,219,834 ",$379 
Kansas,"16,940",22%,"$19,916,988 ",$429 
Kentucky,"25,082",22%,"$30,598,771 ",$350 
Louisiana,"23,404",25%,"$30,022,528 ",$422 
Maine,"8,397",23%,"$9,708,190 ",$400 
Maryland,"45,832",24%,"$93,976,802 ",$518 
Massachusetts,"44,020",25%,"$91,319,599 ",$500 
Michigan,"58,709",24%,"$83,309,393 ",$400 
Minnesota,"33,234",24%,"$60,317,592 ",$482 
Mississippi,"13,952",26%,"$23,422,036 ",$400 
Missouri,"39,182",23%,"$52,266,861 ",$361 
Montana,"6,712",24%,"$9,582,342 ",$436 
Nebraska,"10,242",22%,"$14,314,521 ",$450 
Nevada,"24,729",28%,"$69,551,003 ",$616 
New Hampshire,"9,299",23%,"$13,660,810 ",$450 
New Jersey,"54,494",27%,"$122,175,462 ",$508 
New Mexico,"13,773",25%,"$23,200,453 ",$500 
New York,"123,684",26%,"$280,882,468 ",$500 
North Carolina,"64,517",24%,"$93,015,171 ",$446 
North Dakota,"3,309",28%,"$8,897,094 ",$440 
Ohio,"69,970",22%,"$86,270,313 ",$375 
Oklahoma,"22,036",23%,"$26,906,284 ",$410 
Oregon,"30,950",24%,"$65,371,881 ",$500 
Pennsylvania,"79,178",25%,"$120,888,991 ",$400 
Puerto Rico,"3,428",37%,"$6,689,197 ",$508 
Rhode Island,"6,758",24%,"$11,564,650 ",$447 
South Carolina,"30,918",25%,"$46,428,921 ",$400 
South Dakota,"3,698",25%,"$6,828,535 ",$489 
Tennessee,"42,606",23%,"$62,602,651 ",$400 
Texas,"169,503",25%,"$369,437,769 ",$500 
Utah,"19,327",26%,"$37,346,855 ",$500 
Vermont,"4,132",22%,"$10,038,458 ",$337 
Virginia,"59,345",25%,"$112,898,996 ",$500 
Washington,"57,453",23%,"$135,661,564 ",$500 
West Virginia,"10,219",26%,"$10,206,786 ",$350 
Wisconsin,"33,942",23%,"$48,716,758 ",$390 
Wyoming,"3,221",27%,"$7,751,648 ",$500 
,,,,
"The amount lost refers to reports with a loss of $1 – $999,999.  The number of reports for each state excludes state-specific data contributor reports.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,,
