State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,"1,421","150,898"
2,Maryland,"1,415","85,568"
3,Delaware,"1,410","13,726"
4,Nevada,"1,407","43,339"
5,Florida,"1,370","294,328"
6,Alabama,"1,217","59,669"
7,Pennsylvania,"1,205","154,313"
8,Louisiana,"1,193","55,456"
9,Tennessee,"1,157","79,012"
10,Alaska,"1,156","8,458"
11,South Carolina,"1,149","59,177"
12,Colorado,"1,119","64,464"
13,New Jersey,"1,107","98,316"
14,Virginia,"1,099","93,763"
15,New York,"1,083","210,749"
16,Texas,"1,080","313,044"
17,Illinois,"1,078","136,640"
18,Rhode Island,"1,066","11,289"
19,Arizona,"1,065","77,534"
20,North Carolina,"1,036","108,698"
21,Washington,"1,013","77,128"
22,California,991,"391,517"
23,Massachusetts,980,"67,515"
24,Ohio,976,"114,140"
25,Oregon,970,"40,908"
26,Missouri,953,"58,485"
27,Connecticut,917,"32,686"
28,New Hampshire,914,"12,429"
29,Mississippi,906,"26,958"
30,New Mexico,888,"18,613"
31,Michigan,881,"87,996"
32,Indiana,861,"57,988"
33,Hawaii,851,"12,051"
34,Vermont,848,"5,292"
35,Kansas,845,"24,615"
36,Utah,823,"26,373"
37,Maine,821,"11,035"
38,Idaho,809,"14,464"
39,Minnesota,809,"45,599"
40,Montana,806,"8,612"
41,Wisconsin,803,"46,755"
42,Arkansas,801,"24,176"
43,West Virginia,797,"14,287"
44,Kentucky,796,"35,544"
45,Oklahoma,783,"30,996"
46,Wyoming,731,"4,230"
47,Nebraska,697,"13,475"
48,Iowa,636,"20,071"
49,North Dakota,608,"4,637"
50,South Dakota,549,"4,854"
,District of Columbia,"1,701","12,004"
,Puerto Rico,260,"8,315"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2019 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
